259 405
199.06 22.552 -3161
199.06 22.537 -3357
199.06 22.522 -3487
199.06 22.506 -3623
199.06 22.491 -3697
199.06 22.476 -3747
199.06 22.46 -3823
199.06 22.445 -3957
199.06 22.429 -4065
199.06 22.414 -4149
199.06 22.398 -4233
199.06 22.383 -4297
199.06 22.368 -4329
199.06 22.352 -4327
199.06 22.337 -4319
199.06 22.321 -4301
199.06 22.306 -4275
199.06 22.291 -4261
199.06 22.275 -4241
199.06 22.26 -4503
199.06 22.244 -4497
199.06 22.229 -4486
199.06 22.213 -4475
199.06 22.198 -4468
199.06 22.183 -4462
199.06 22.167 -4454
199.06 22.152 -4449
199.06 22.136 -4435
199.06 22.121 -4424
199.06 22.105 -4418
199.06 22.09 -4404
199.06 22.075 -4386
199.06 22.059 -4364
199.06 22.044 -4342
199.06 22.028 -4320
199.06 22.013 -4304
199.06 21.997 -4295
199.06 21.982 -4275
199.06 21.966 -4275
199.06 21.951 -4271
199.06 21.935 -4275
199.06 21.92 -4279
199.06 21.904 -4265
199.06 21.889 -4259
199.06 21.873 -4269
199.06 21.858 -4259
199.06 21.843 -4247
199.06 21.827 -4241
199.06 21.812 -4239
199.06 21.796 -4247
199.06 21.781 -4239
199.06 21.765 -4228
199.06 21.75 -4266
199.06 21.734 -4310
199.06 21.719 -4324
199.06 21.703 -4325
199.06 21.688 -4333
199.06 21.672 -4349
199.06 21.657 -4349
199.06 21.641 -4353
199.06 21.626 -4357
199.06 21.61 -4321
199.06 21.595 -4305
199.06 21.579 -4279
199.06 21.564 -4285
199.06 21.548 -4263
199.06 21.533 -4245
199.06 21.517 -4207
199.06 21.502 -4201
199.06 21.486 -4187
199.06 21.471 -4199
199.06 21.455 -4193
199.06 21.44 -4205
199.06 21.424 -4223
199.06 21.409 -4239
199.06 21.393 -4267
199.06 21.378 -4289
199.06 21.362 -4317
199.06 21.347 -4313
199.06 21.331 -4335
199.06 21.316 -4337
199.06 21.3 -4339
199.06 21.285 -4365
199.06 21.269 -4379
199.06 21.253 -4383
199.06 21.238 -4407
199.06 21.223 -4409
199.06 21.207 -4423
199.06 21.191 -4441
199.06 21.176 -4453
199.06 21.16 -4457
199.06 21.145 -4458
199.06 21.129 -4464
199.06 21.114 -4479
199.06 21.098 -4489
199.06 21.083 -4499
199.06 21.067 -4491
199.06 21.052 -4514
199.06 21.036 -4540
199.06 21.02 -4549
199.06 21.005 -4585
199.06 20.989 -4603
199.06 20.974 -4605
199.06 20.958 -4623
199.06 20.942 -4669
199.06 20.927 -4741
199.06 20.911 -4737
199.06 20.896 -4731
199.06 20.88 -4725
199.06 20.865 -4725
199.06 20.849 -4726
199.06 20.834 -4724
199.06 20.818 -4718
199.06 20.802 -4705
199.06 20.787 -4713
199.06 20.771 -4709
199.06 20.756 -4699
199.06 20.74 -4710
199.06 20.724 -4719
199.06 20.709 -4721
199.06 20.693 -4723
199.06 20.678 -4725
199.06 20.662 -4725
199.06 20.646 -4721
199.06 20.631 -4717
199.06 20.615 -4713
199.06 20.6 -4715
199.06 20.584 -4743
199.06 20.569 -4763
199.06 20.553 -4716
199.06 20.537 -4704
199.06 20.522 -4706
199.06 20.506 -4715
199.06 20.491 -4713
199.06 20.475 -4711
199.06 20.459 -4711
199.06 20.444 -4709
199.06 20.428 -4709
199.06 20.412 -4699
199.06 20.397 -4699
199.06 20.381 -4705
199.06 20.366 -4687
199.06 20.35 -4697
199.06 20.334 -4693
199.06 20.319 -4697
199.06 20.303 -4699
199.06 20.287 -4697
199.06 20.272 -4693
199.06 20.256 -4689
199.06 20.241 -4691
199.06 20.225 -4690
199.06 20.209 -4691
199.06 20.194 -4688
199.06 20.178 -4687
199.06 20.162 -4685
199.06 20.147 -4687
199.06 20.131 -4693
199.06 20.115 -4693
199.06 20.1 -4689
199.06 20.084 -4687
199.06 20.068 -4673
199.06 20.053 -4665
199.06 20.037 -4667
199.06 20.021 -4659
199.06 20.006 -4651
199.06 19.99 -4629
199.06 19.974 -4585
199.06 19.959 -4489
199.06 19.943 -4492
199.06 19.927 -4567
199.06 19.912 -4587
199.06 19.896 -4584
199.06 19.88 -4573
199.06 19.865 -4597
199.06 19.849 -4597
199.06 19.833 -4596
199.06 19.818 -4530
199.06 19.802 -4494
199.06 19.786 -4488
199.06 19.771 -4480
199.06 19.755 -4445
199.06 19.739 -4445
199.06 19.724 -4489
199.06 19.708 -4527
199.06 19.692 -4513
199.06 19.677 -4611
199.06 19.661 -4635
199.06 19.645 -4969
199.06 19.629 -5053
199.06 19.614 -5059
199.06 19.598 -5055
199.06 19.582 -5011
199.06 19.567 -5011
199.06 19.551 -5007
199.06 19.535 -4985
199.06 19.52 -5001
199.06 19.504 -5015
199.06 19.488 -5015
199.06 19.472 -5029
199.06 19.457 -5013
199.06 19.441 -5017
199.06 19.425 -5017
199.06 19.41 -5017
199.06 19.394 -5019
199.06 19.378 -5021
199.06 19.362 -5023
199.06 19.347 -5013
199.06 19.331 -5019
199.06 19.315 -5015
199.06 19.299 -5011
199.06 19.284 -5011
199.06 19.268 -5015
199.06 19.252 -5019
199.06 19.236 -5027
199.06 19.221 -5049
199.06 19.205 -5063
199.06 19.189 -5081
199.06 19.174 -5064
199.06 19.158 -5041
199.06 19.142 -4907
199.06 19.126 -4861
199.06 19.111 -4743
199.06 19.095 -4701
199.06 19.079 -4811
199.06 19.063 -4845
199.06 19.047 -4929
199.06 19.032 -4959
199.06 19.016 -5027
199.06 19 -5109
199.06 18.985 -5119
199.06 18.969 -5139
199.06 18.953 -5147
199.06 18.937 -5155
199.06 18.922 -5165
199.06 18.906 -5169
199.06 18.89 -5181
199.06 18.874 -5203
199.06 18.858 -5209
199.06 18.843 -5221
199.06 18.827 -5221
199.06 18.811 -5221
199.06 18.795 -5237
199.06 18.779 -5243
199.06 18.764 -5247
199.06 18.748 -5247
199.06 18.732 -5247
199.06 18.716 -5255
199.06 18.701 -5259
199.06 18.685 -5267
199.06 18.669 -5267
199.06 18.653 -5267
199.06 18.637 -5269
199.06 18.622 -5277
199.06 18.606 -5289
199.06 18.59 -5297
199.06 18.574 -5299
199.06 18.558 -5299
199.06 18.543 -5301
199.06 18.527 -5315
199.07 22.552 -3311
199.07 22.537 -3405
199.07 22.522 -3479
199.07 22.506 -3635
199.07 22.491 -3715
199.07 22.476 -3791
199.07 22.46 -3861
199.07 22.445 -3999
199.07 22.429 -4097
199.07 22.414 -4199
199.07 22.398 -4271
199.07 22.383 -4341
199.07 22.368 -4399
199.07 22.352 -4551
199.07 22.337 -4375
199.07 22.321 -4339
199.07 22.306 -4309
199.07 22.291 -4511
199.07 22.275 -4515
199.07 22.26 -4509
199.07 22.244 -4501
199.07 22.229 -4486
199.07 22.213 -4472
199.07 22.198 -4460
199.07 22.183 -4455
199.07 22.167 -4444
199.07 22.152 -4436
199.07 22.136 -4423
199.07 22.121 -4414
199.07 22.105 -4422
199.07 22.09 -4400
199.07 22.075 -4374
199.07 22.059 -4350
199.07 22.044 -4328
199.07 22.028 -4308
199.07 22.013 -4294
199.07 21.997 -4293
199.07 21.982 -4289
199.07 21.966 -4255
199.07 21.951 -4259
199.07 21.935 -4271
199.07 21.92 -4253
199.07 21.904 -4245
199.07 21.889 -4211
199.07 21.873 -4237
199.07 21.858 -4235
199.07 21.843 -4203
199.07 21.827 -4203
199.07 21.812 -4201
199.07 21.796 -4203
199.07 21.781 -4207
199.07 21.765 -4175
199.07 21.75 -4246
199.07 21.734 -4314
199.07 21.719 -4318
199.07 21.703 -4299
199.07 21.688 -4311
199.07 21.672 -4319
199.07 21.657 -4325
199.07 21.641 -4325
199.07 21.626 -4311
199.07 21.61 -4277
199.07 21.595 -4249
199.07 21.579 -4225
199.07 21.564 -4237
199.07 21.548 -4207
199.07 21.533 -4181
199.07 21.517 -4175
199.07 21.502 -4167
199.07 21.486 -4169
199.07 21.471 -4169
199.07 21.455 -4159
199.07 21.44 -4153
199.07 21.424 -4197
199.07 21.409 -4211
199.07 21.393 -4231
199.07 21.378 -4259
199.07 21.362 -4265
199.07 21.347 -4281
199.07 21.331 -4303
199.07 21.316 -4317
199.07 21.3 -4341
199.07 21.285 -4341
199.07 21.269 -4353
199.07 21.253 -4367
199.07 21.238 -4379
199.07 21.223 -4405
199.07 21.207 -4409
199.07 21.191 -4433
199.07 21.176 -4447
199.07 21.16 -4451
199.07 21.145 -4456
199.07 21.129 -4467
199.07 21.114 -4479
199.07 21.098 -4487
199.07 21.083 -4499
199.07 21.067 -4499
199.07 21.052 -4532
199.07 21.036 -4572
199.07 21.02 -4625
199.07 21.005 -4603
199.07 20.989 -4617
199.07 20.974 -4643
199.07 20.958 -4655
199.07 20.942 -4659
199.07 20.927 -4727
199.07 20.911 -4735
199.07 20.896 -4731
199.07 20.88 -4725
199.07 20.865 -4715
199.07 20.849 -4716
199.07 20.834 -4720
199.07 20.818 -4719
199.07 20.802 -4705
199.07 20.787 -4711
199.07 20.771 -4707
199.07 20.756 -4708
199.07 20.74 -4721
199.07 20.724 -4721
199.07 20.709 -4723
199.07 20.693 -4725
199.07 20.678 -4725
199.07 20.662 -4723
199.07 20.646 -4717
199.07 20.631 -4715
199.07 20.615 -4715
199.07 20.6 -4719
199.07 20.584 -4719
199.07 20.569 -4719
199.07 20.553 -4703
199.07 20.537 -4701
199.07 20.522 -4706
199.07 20.506 -4717
199.07 20.491 -4713
199.07 20.475 -4709
199.07 20.459 -4711
199.07 20.444 -4709
199.07 20.428 -4705
199.07 20.412 -4697
199.07 20.397 -4695
199.07 20.381 -4699
199.07 20.366 -4690
199.07 20.35 -4693
199.07 20.334 -4695
199.07 20.319 -4697
199.07 20.303 -4697
199.07 20.287 -4695
199.07 20.272 -4691
199.07 20.256 -4687
199.07 20.241 -4687
199.07 20.225 -4693
199.07 20.209 -4695
199.07 20.194 -4683
199.07 20.178 -4683
199.07 20.162 -4683
199.07 20.147 -4687
199.07 20.131 -4693
199.07 20.115 -4693
199.07 20.1 -4691
199.07 20.084 -4685
199.07 20.068 -4679
199.07 20.053 -4673
199.07 20.037 -4669
199.07 20.021 -4663
199.07 20.006 -4651
199.07 19.99 -4633
199.07 19.974 -4585
199.07 19.959 -4473
199.07 19.943 -4470
199.07 19.927 -4539
199.07 19.912 -4572
199.07 19.896 -4575
199.07 19.88 -4587
199.07 19.865 -4595
199.07 19.849 -4588
199.07 19.833 -4574
199.07 19.818 -4534
199.07 19.802 -4496
199.07 19.786 -4500
199.07 19.771 -4497
199.07 19.755 -4371
199.07 19.739 -4381
199.07 19.724 -4433
